,name,property_type,room_type,bed_type,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,host_id,host_name,host_neighbourhood,country,review_scores_rating
1541,Perfect Peaceful Hale,House,Entire home/apt,Real Bed,4.0,5.0,21,3.5,417.0,470.0,104269504,Karin,Liliha/Kapalama,United States,97.0
1542,Entire house in the heart of the Plateau,House,Entire home/apt,Real Bed,3.0,3.0,9,1.5,189.0,25.0,24373475,Davide,Le Plateau,Canada,95.0
1543,Cute Beachside Get Away,Apartment,Entire home/apt,Real Bed,2.0,2.0,1,1.0,139.0,60.0,2442148,Imogene,Coogee,Australia,100.0
1544,Kona Tropical Bungalow,Guest suite,Entire home/apt,Real Bed,1.0,1.0,31,1.0,68.0,50.0,88617462,Bert,Kailua/Kona,United States,95.0
1545,Beautiful apartment in the center,Loft,Entire home/apt,Real Bed,1.0,2.0,257,1.0,100.0,40.0,9559117,Ana,L'Antiga Esquerra de l'Eixample,Spain,98.0
1546,Home Sweet Home ❤️of Downtown BreakfastBuffet&Spa,Apartment,Entire home/apt,Real Bed,1.0,2.0,104,1.0,34.0,40.0,125749836,Sarah,Downtown Montreal,Canada,96.0
1547,"In Sisli. Walking distance to Taksim,Nişantaşı.",Apartment,Private room,Real Bed,1.0,1.0,1,1.0,142.0,30.0,73005104,Gokce,Lapa,Turkey,93.09924038225925
1548,Ao Coliseu 3C ( central 2 bedroom apartment ),Apartment,Entire home/apt,Real Bed,2.0,2.0,71,1.0,75.0,20.0,126412228,Passos Manuel 236 AL,Avalon,Portugal,97.0
1549,Clean and cosy bedroom,Apartment,Private room,Real Bed,1.0,1.0,0,1.0,84.0,94.07480119284294,9568120,Hakan,Santa Teresa,Turkey,93.09924038225925
1550,"Cozy, separated living room in Prospect Park, NYC",Apartment,Private room,Pull-out Sofa,0.0,1.0,40,1.0,45.0,10.0,10777069,Dmitriy,Flatbush,United States,94.0
1551,Center of Waikiki Renovated Ocean View Condo(MS03),Condominium,Entire home/apt,Real Bed,0.0,1.0,59,1.0,148.0,124.0,42705922,Lei Hawaii,Waikiki,United States,93.0
1552,"Modern Apartment in Kennedy Town, super convenient",Apartment,Entire home/apt,Real Bed,1.0,1.0,6,1.0,801.0,250.0,36336254,Stella,Kennedy Town,Hong Kong,92.0
1553,M&S Apartments Porto,Apartment,Entire home/apt,Real Bed,1.0,1.0,13,1.0,49.0,15.0,126533604,Pedro,Gowanus,Portugal,78.0
1554,Taşdelen kardiyum sakin oda,Apartment,Entire home/apt,Real Bed,1.0,1.0,0,1.0,69.0,94.07480119284294,108366594,Yucel,Haiku/Pauwela,Turkey,93.09924038225925
1555,AMAZING Waikiki Skytower Condo - Close Walk to Everything! - Waikiki Sky Tower Mountain 1 BDR on the 14th Floor,Condominium,Entire home/apt,Real Bed,1.0,2.0,1,1.0,113.0,148.0,92715155,Ali'I Beach Rentals,Waikiki,United States,80.0
1556,Bright and Breezy Bondi Beach Pad,Apartment,Entire home/apt,Real Bed,1.0,2.0,40,1.0,141.0,125.0,9675822,Sarah,Rego Park,Australia,82.0
1557,"""Gorgeous and artfully styled oasis ....""",Guest suite,Entire home/apt,Real Bed,1.0,1.0,3,1.0,300.0,0.0,10132237,Louise,Greenwich,Australia,100.0
1558,The Porto Concierge - Belvedere First,Apartment,Entire home/apt,Real Bed,2.0,2.0,121,1.0,60.0,15.0,75552448,José,Dreta de l'Eixample,Portugal,89.0
1559,"Ocean Front Ecstasy! Homey w/Tile Floor, Full Kitchen, WiFi, Flat Screen–Paki Maui 409",Condominium,Entire home/apt,Real Bed,1.0,1.0,7,1.0,377.0,120.0,126555013,Castle Paki Maui,Darlinghurst,United States,86.0
1560,Character renovated house close to city,House,Entire home/apt,Real Bed,4.0,4.0,56,1.0,264.0,90.0,59940377,Bill,Glebe,Australia,98.0
1561,Spacious Sunlit 1 BR Apartment in Heart of Harlem,Apartment,Entire home/apt,Real Bed,1.0,1.0,2,1.0,110.0,94.07480119284294,4213096,Jeff,Harlem,United States,100.0
1562,"Beachside room not far from the airport,",House,Private room,Real Bed,1.0,1.0,16,1.0,73.0,25.0,30738572,Fiona,Paddington,Australia,99.0
1563,Acogedor alojamiento en SAGRADA FAMILIA,Apartment,Private room,Real Bed,2.0,2.0,59,1.0,29.0,20.0,4030343,Sergio,Camp d'en Grassot i Gràcia Nova,Spain,98.0
1564,"LARGE LUXURY 2bed,w/King,Queen & Full, TIMES SQ",Apartment,Entire home/apt,Real Bed,2.0,3.0,77,1.0,350.0,95.0,3169815,Joe,Hell's Kitchen,United States,98.0
1565,Spacious Contemporary Home with Pool,House,Entire home/apt,Real Bed,3.0,3.0,1,3.0,395.0,120.0,11772319,Kerri,Kingsford,Australia,100.0
1566,Comfortable Flat in İstanbul,Apartment,Private room,Real Bed,1.0,1.0,0,2.0,105.0,94.07480119284294,63578931,Utku,Windsor Terrace,Turkey,93.09924038225925
1567,Great location/ 1 min sub./ terrace,Apartment,Entire home/apt,Real Bed,1.0,1.0,64,1.0,99.0,0.0,6188332,Laurence,Verdun,Canada,98.0
1568,Sunny & Spacious 1 Bedroom in Central Harlem!,Apartment,Entire home/apt,Real Bed,1.0,1.0,38,1.0,150.0,30.0,2946771,Kara,East Harlem,United States,98.0
1569,Spacious private room close St. Barnabas Hospital,Apartment,Private room,Real Bed,1.0,1.0,27,1.0,38.0,25.0,127249880,Emma,Tremont,United States,90.0
1570,"Bright, beautiful room for a comfortable stay",House,Private room,Real Bed,1.0,1.0,47,1.0,53.0,10.0,13649613,"Rossy,  Carmen And Juan",University Heights,United States,95.0
1571,KS RESIDENCE - Apt Completo p/ 3 pessoas,Apartment,Entire home/apt,Real Bed,2.0,1.0,1,2.0,321.0,94.07480119284294,3106503,Stephan Oliveira,Maui,Brazil,100.0
1572,Bright & Airy Private Room near L/JMZ trains,Apartment,Private room,Real Bed,1.0,1.0,3,1.5,54.0,94.07480119284294,88314328,Leah,Bushwick,United States,93.0
1573,Entire MASSIVE apt. for 4 ppl 1 Block from Subway,Apartment,Entire home/apt,Real Bed,1.0,2.0,24,1.0,197.0,25.0,10335937,Eva,Forest Hills,United States,96.0
1574,【 1 min to MTR】Standard Double Bed Room尖沙咀標準大床房,Apartment,Private room,Real Bed,1.0,1.0,71,1.0,400.0,0.0,94983554,Jane,Tsim Sha Tsui,Hong Kong,90.0
1575,Montréal en famille ou amis,Apartment,Entire home/apt,Real Bed,2.0,2.0,21,1.0,75.0,75.0,124103434,Brigitte,Hochelaga-Maisonneuve,Canada,95.0
1576,Private room,Apartment,Private room,Real Bed,1.0,1.0,0,1.0,78.0,40.0,127242256,Guilherme,Manly,Portugal,93.09924038225925
1577,"Casa acolhedora, 2 minutos do rio douro",House,Entire home/apt,Real Bed,2.0,2.0,79,1.0,31.0,15.0,44779942,Sandra,Pena,Portugal,95.0
1578,Atico en Paseo de Gracia,Apartment,Entire home/apt,Real Bed,1.0,4.0,35,1.0,106.0,50.0,116797836,Llorens,Dreta de l'Eixample,Spain,85.0
1579,"Garden Room: A Feast for the Senses Big Island,Hi.",House,Private room,Real Bed,1.0,2.0,25,1.0,110.0,50.0,9635363,Bobi,North Kohala,United States,96.0
1580,Large room in a centennial house,House,Private room,Real Bed,1.0,2.0,10,1.0,119.0,94.07480119284294,9269441,Elmiro,Rego Park,Brazil,100.0
1581,relaxing in Porto,Apartment,Entire home/apt,Real Bed,1.0,1.0,26,1.0,35.0,10.0,38727307,Isabel,Vila de Gràcia,Portugal,93.0
1582,Lanikai Plantation - 4 bedrooms/3 baths,House,Private room,Real Bed,4.0,5.0,2,3.0,595.0,425.0,81170179,Lori,Kailua,United States,90.0
1583,Spacious 3 BR 12ppl Beside MTR :),Apartment,Entire home/apt,Real Bed,3.0,6.0,9,2.0,1397.0,480.0,14634338,Rick,Mong Kok,Hong Kong,96.0
1584,House Of Hawaii Dreams,Guesthouse,Entire home/apt,Real Bed,2.0,3.0,60,1.0,299.0,195.0,128054997,Hannah,Kuliouou/Kalani Iki,United States,98.0
1585,旺角獨立房間,Guest suite,Private room,Real Bed,1.0,1.0,0,1.0,447.0,100.0,54796073,Victor,São João,Hong Kong,93.09924038225925
1586,Sunny loft-style apartment in Place-des-Arts !,Loft,Entire home/apt,Real Bed,1.0,1.0,5,1.0,301.0,50.0,16588093,Montréal,Le Plateau,Canada,100.0
1587,Cozy Nest Stunning Bathroom Near OldPort & DT,Apartment,Entire home/apt,Real Bed,1.0,4.0,111,1.0,75.0,50.0,91549951,Tanguy & Uriel,Ville-Marie,Canada,96.0
1588,Hale Nui Ohana,House,Entire home/apt,Real Bed,4.0,4.0,2,4.0,343.0,424.0,107503112,Wayne B.,Kailua/Kona,United States,80.0
1589,MODERNIST AND LUXURIOUS FLAT IN IDYLLIC LOCATION,Apartment,Entire home/apt,Real Bed,2.0,2.0,0,1.0,74.0,0.0,7843388,Leyre,Vallcarca i els Penitents,Spain,93.09924038225925
1590,Cozy 2 bedroom Apt. in YMT,Apartment,Entire home/apt,Real Bed,2.0,3.0,10,1.0,589.0,150.0,2601704,Eddy,Tai Kok Sui,Hong Kong,72.0
1591,Cozy studio in front of Parc La Fonteine,Apartment,Entire home/apt,Real Bed,1.0,2.0,18,1.0,40.0,12.0,30120403,Rafael,Le Plateau,Canada,93.0
1592,"Centrally located, new renovation",Apartment,Entire home/apt,Real Bed,2.0,2.0,1,2.0,903.0,120.0,9674420,Pete,Soho,Hong Kong,100.0
1593,Old Greek Home 1+1 (Near Bosporus),House,Shared room,Real Bed,1.0,1.0,0,1.0,100.0,94.07480119284294,124808557,Srcn,Beyoglu,Turkey,93.09924038225925
1594,Beautiful 4 level terrace in the heart of Sydney!,House,Entire home/apt,Real Bed,3.0,3.0,3,2.5,274.0,80.0,4367293,Jaime,Chippendale,Australia,87.0
1595,日本人がﾎｽﾄする香港西貢のAirbnb,Apartment,Private room,Real Bed,2.0,2.0,6,1.0,353.0,50.0,117292423,Kaz,Rio Comprido,Hong Kong,100.0
1596,Oporto Center Spot,Apartment,Entire home/apt,Real Bed,1.0,1.0,87,1.0,60.0,10.0,128963393,Dulce,Cosme Velho,Portugal,97.0
1597,Charming Studio with Balcony + Garden (4 guests) 1,Apartment,Entire home/apt,Real Bed,1.0,2.0,3,1.0,55.0,5.0,4207615,Oporto City Flats,Lagoa,Portugal,100.0
1598,Auwailani Garden Apartment,Apartment,Entire home/apt,Real Bed,1.0,2.0,70,1.0,96.0,100.0,73622629,Susie,Kaneohe,United States,98.0
1599,3 BDR APT AND ROOFTOP ONE TRAIN STOP TO MANHATAN,Apartment,Entire home/apt,Real Bed,3.0,3.0,100,1.0,315.0,30.0,69124870,Ana Y Victor,Williamsburg,United States,96.0
1600,Happy studio,Apartment,Entire home/apt,Real Bed,1.0,2.0,4,1.0,35.0,50.0,94998397,Jorge,Nuuanu/Punchbowl,Portugal,100.0
1601,Luxury condo with free indoor parking,Condominium,Entire home/apt,Real Bed,0.0,1.0,19,1.0,94.0,63.0,76217411,Carlos,Downtown Montreal,Canada,96.0
1602,For 4 or 6 - Wonderful Apartment downtown,Loft,Entire home/apt,Real Bed,2.0,4.0,125,2.0,140.0,15.0,8161650,Manuel,Kailua,Portugal,94.0
1603,Big 4 Bedroom~,Apartment,Entire home/apt,Real Bed,4.0,5.0,32,2.0,200.0,80.0,299462,Stay U-Nique,Sant Gervasi - Galvany,Spain,94.0
1604,5 Room Villa in Oporto Center,House,Entire home/apt,Real Bed,5.0,10.0,3,3.5,160.0,94.07480119284294,110204521,Cedilhas,Vila Mariana,Portugal,93.0
1605,The Paddington Cottage | Sydney Eastern Suburbs,House,Entire home/apt,Real Bed,3.0,0.0,21,1.0,350.0,200.0,6232360,Bradley,Paddington,Australia,98.0
1606,Private Sunny Room in Bushwick,Apartment,Private room,Real Bed,3.0,1.0,0,1.0,30.0,94.07480119284294,129159456,Michelle,Camp d'en Grassot i Gràcia Nova,United States,93.09924038225925
1607,Harbour Views from North Sydney High Street,Apartment,Entire home/apt,Real Bed,1.0,1.0,74,1.0,145.0,100.0,17714205,Stephen (Sydney Holiday Rentals),Manly,Australia,96.0
1608,Charming Family House with Garden (6981/AL),Townhouse,Entire home/apt,Real Bed,3.0,4.0,171,1.0,55.0,20.0,897112,Helena,Rosebery,Portugal,95.0
1609,Modern Sunny Midtown Gem,Apartment,Entire home/apt,Real Bed,1.0,2.0,14,1.0,195.0,80.0,18838868,Leah,Midtown,United States,98.0
1610,*** Next To Place Des Arts ***,Condominium,Entire home/apt,Real Bed,1.0,1.0,16,1.0,250.0,75.0,318040,Mike,Old Port,Canada,94.0
1611,Fabulous Beach Front Penthouse,Apartment,Entire home/apt,Real Bed,3.0,4.0,12,2.0,200.0,25.0,129967760,Manuela,Hana,Portugal,100.0
1612,Single Room PrivateBathroom MonthlyRental 3 單人套房月租,Apartment,Private room,Real Bed,0.0,1.0,0,1.0,181.0,94.07480119284294,30098437,Dragon Hostel,Mong Kok,Hong Kong,93.09924038225925
1613,"Great, light filled room with ensuite private bath",Apartment,Private room,Real Bed,1.0,1.0,3,1.0,120.0,25.0,1038989,Kung,Williamsburg,United States,93.0
1614,"Clean, bright & cozy bedroom /w convenient parking",Apartment,Private room,Real Bed,1.0,1.0,9,1.0,50.0,6.0,104551495,Zhen,Hempstead,Canada,96.0
1615,THE ROOM WITH BALCONY in CIHANGIR + FREE WIFI,Apartment,Private room,Real Bed,0.0,1.0,0,1.0,237.0,94.07480119284294,128093488,Enes,Kadıköy,Turkey,93.09924038225925
1616,Room with balcony,Apartment,Private room,Real Bed,1.0,1.0,13,1.0,40.0,10.0,23771677,Roman,el Fort Pienc,Spain,89.0
1617,High Floor-Ocean View! 2 Bed/2 Ba/1 Pkg WBT#2302,Condominium,Entire home/apt,Real Bed,2.0,4.0,9,2.0,551.0,329.0,69552498,Captain Cook Resorts,Waikiki,United States,98.0
1618,Double room in Poble sec,Apartment,Private room,Real Bed,1.0,1.0,42,1.0,25.0,10.0,130265495,Dino,El Poble-sec,Spain,86.0
1619,Big and luminous apartment in Little Italy,Apartment,Entire home/apt,Real Bed,2.0,2.0,18,1.0,250.0,50.0,686654,Marie,Mile End,Canada,97.0
1620,One-Bedroom Apartment with Balcony,Condominium,Entire home/apt,Real Bed,1.0,3.0,8,1.0,75.0,20.0,113020313,Javier,Ala Moana/Kakaako,Spain,80.0
1621,Cosy Terrace Studio,Apartment,Entire home/apt,Real Bed,0.0,1.0,55,1.0,35.0,15.0,130609625,Miguel,Randwick,Portugal,93.0
1622,East Village Renovated Apartment,Apartment,Private room,Airbed,1.0,1.0,4,1.0,60.0,94.07480119284294,45406531,Skip,East Village,United States,100.0
1623,Spacious cozy apartment in Little Burgundy,Apartment,Entire home/apt,Real Bed,1.0,1.0,74,1.0,90.0,60.0,34920887,Alfredo,Little Burgundy,Canada,99.0
