,name,property_type,room_type,bed_type,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,host_id,host_name,host_neighbourhood,country,review_scores_rating
0,Ribeira Charming Duplex,House,Entire home/apt,Real Bed,3.0,5.0,51,1.0,80.0,35.0,51399391,Ana&Gonçalo,Kensington,Portugal,89.0
1,Horto flat with small garden,Apartment,Entire home/apt,Real Bed,1.0,2.0,0,1.0,317.0,187.0,1282196,Ynaie,Jardim Botânico,Brazil,93.09924038225925
2,Ocean View Waikiki Marina w/prkg,Condominium,Entire home/apt,Real Bed,1.0,1.0,96,1.0,115.0,100.0,5448114,David,Waikiki,United States,84.0
3,Private Room in Bushwick,Apartment,Private room,Real Bed,1.0,1.0,1,1.5,40.0,94.07480119284294,11275734,Josh,Bushwick,United States,100.0
4,Apt Linda Vista Lagoa - Rio,Apartment,Private room,Real Bed,1.0,1.0,0,2.0,701.0,250.0,51496939,Livia,Lagoa,Brazil,93.09924038225925
5,New York City - Upper West Side Apt,Apartment,Private room,Real Bed,1.0,1.0,70,1.0,135.0,135.0,454250,Greta,Roosevelt Island,United States,94.0
6,Copacabana Apartment Posto 6,Apartment,Entire home/apt,Real Bed,1.0,3.0,70,2.0,119.0,150.0,51530266,Ana Valéria,Copacabana,Brazil,98.0
7,Charming Flat in Downtown Moda,House,Entire home/apt,Real Bed,2.0,6.0,1,1.0,527.0,211.0,1241644,Zeynep,Moda,Turkey,100.0
8,Catete's Colonial Big Hause Room B,House,Private room,Real Bed,1.0,8.0,1,4.0,250.0,0.0,51326285,Beatriz,Catete,Brazil,80.0
9,Modern Spacious 1 Bedroom Loft,Apartment,Entire home/apt,Real Bed,1.0,2.0,0,1.0,50.0,94.07480119284294,51612949,Konstantin,Mile End,Canada,93.09924038225925
10,Deluxe Loft Suite,Apartment,Entire home/apt,Real Bed,0.0,2.0,5,1.0,205.0,94.07480119284294,47554473,Mae,Greenpoint,United States,88.0
11,Ligne verte - à 15 min de métro du centre ville.,Apartment,Entire home/apt,Real Bed,0.0,1.0,0,1.0,43.0,94.07480119284294,7140229,Caro,Elizabeth Bay/Rushcutters Bay,Canada,93.09924038225925
12,"Soho Cozy, Spacious and Convenient",Apartment,Entire home/apt,Real Bed,1.0,2.0,3,1.0,699.0,94.07480119284294,51624384,Giovanni,Soho,Hong Kong,100.0
13,3 chambres au coeur du Plateau,Apartment,Entire home/apt,Real Bed,3.0,3.0,0,1.0,140.0,94.07480119284294,9036477,Margaux,Le Plateau,Canada,93.09924038225925
14,Ótimo Apto proximo Parque Olimpico,Apartment,Entire home/apt,Real Bed,2.0,2.0,0,2.0,858.0,112.0,51670240,Jonathan,West Brighton,Brazil,93.09924038225925
15,Double Room en-suite (307),Apartment,Private room,Real Bed,1.0,1.0,0,1.0,361.0,94.07480119284294,51289938,Ken,Jordan,Hong Kong,93.09924038225925
16,Nice room in Barcelona Center,Apartment,Private room,Real Bed,1.0,2.0,0,1.0,50.0,10.0,30393403,Anna,Dreta de l'Eixample,Spain,93.09924038225925
17,Be Happy in Porto,Loft,Entire home/apt,Real Bed,1.0,1.0,178,1.0,30.0,10.0,27518920,Fábio,Copacabana,Portugal,97.0
18,City center private room with bed,Guesthouse,Private room,Futon,1.0,1.0,81,1.0,181.0,50.0,51744313,Yi,Shek Kip Mei,Hong Kong,92.0
19,Surry Hills Studio - Your Perfect Base in Sydney,Apartment,Entire home/apt,Real Bed,0.0,1.0,64,1.0,181.0,50.0,13764143,Ben,Surry Hills,Australia,95.0
20,Cozy house at Beyoğlu,Apartment,Private room,Pull-out Sofa,1.0,1.0,27,1.0,58.0,0.0,21331922,Ali,Taksim,Turkey,99.0
21,Easy 1 Bedroom in Chelsea,Apartment,Entire home/apt,Real Bed,1.0,1.0,1,1.0,145.0,60.0,34607505,Scott,Chelsea,United States,100.0
22,Sydney Hyde Park City Apartment (checkin from 6am),Apartment,Entire home/apt,Real Bed,1.0,1.0,109,1.0,185.0,120.0,16187044,Desireé,Darlinghurst,Australia,100.0
23,THE Place to See Sydney's FIREWORKS,House,Entire home/apt,Real Bed,1.0,1.0,0,2.5,250.0,150.0,6517277,Kristin,Lilyfield/Rozelle,Australia,93.09924038225925
24,Downtown Oporto Inn (room cleaning),Hostel,Private room,Real Bed,1.0,1.0,0,1.0,40.0,50.0,2649859,Elisabete,Pena,Portugal,93.09924038225925
25,GOLF ROYAL RESİDENCE TAXİM(1+1):3,Serviced apartment,Entire home/apt,Real Bed,2.0,4.0,3,1.0,838.0,94.07480119284294,51471538,Ahmet,Şişli,Turkey,67.0
26,GOLF ROYAL RESIDENCE SUİTES(2+1)-2,Serviced apartment,Entire home/apt,Real Bed,2.0,5.0,0,2.0,997.0,94.07480119284294,51471538,Ahmet,Şişli,Turkey,93.09924038225925
27,Apartamento zona sul do RJ,Apartment,Entire home/apt,Real Bed,3.0,3.0,0,1.5,933.0,94.07480119284294,51915770,Luiz Rodrigo,Old Port,Brazil,93.09924038225925
28,A Casa Alegre é um apartamento T1.,Apartment,Entire home/apt,Real Bed,1.0,1.0,12,1.0,40.0,15.0,51920973,Manuela,Napili/Honokowai,Portugal,96.0
29,The LES Apartment,Apartment,Entire home/apt,Real Bed,1.0,1.0,0,1.0,150.0,94.07480119284294,33231070,Mert,São Conrado,United States,93.09924038225925
30,2 bedroom Upper east side,Apartment,Entire home/apt,Real Bed,2.0,2.0,9,1.0,275.0,35.0,52004369,Chelsea,East Village,United States,90.0
31,Double and triple rooms Blue mosque,Bed and breakfast,Private room,Real Bed,1.0,2.0,29,1.0,121.0,94.07480119284294,52004703,Mehmet Emin,El Raval,Turkey,92.0
32,Room Close to LGA and 35 mins to Times Square,Apartment,Private room,Real Bed,1.0,1.0,123,1.0,46.0,15.0,52031360,Cheer,Jackson Heights,United States,99.0
33,A bedroom far away from home,Apartment,Private room,Real Bed,1.0,1.0,239,1.0,45.0,94.07480119284294,1017772,Lane,Jamaica,United States,95.0
34,"Big, Bright & Convenient Sheung Wan",Apartment,Entire home/apt,Real Bed,0.0,1.0,1,1.0,966.0,118.0,11435086,Regg,Sheung Wan,Hong Kong,100.0
35,Large railroad style 3 bedroom apt in Manhattan!,Apartment,Entire home/apt,Real Bed,3.0,4.0,22,1.0,180.0,59.0,35215309,Vick,East Harlem,United States,95.0
36,Resort-like living in Williamsburg,Apartment,Entire home/apt,Real Bed,2.0,2.0,1,1.0,220.0,25.0,14461742,Mohammed,Williamsburg,United States,100.0
37,Private Room (2)  in Guest House at Coogee Beach,House,Private room,Real Bed,1.0,2.0,8,3.5,64.0,30.0,5595776,David,Coogee,Australia,100.0
38,Apto semi mobiliado,Apartment,Entire home/apt,Real Bed,2.0,2.0,0,1.0,380.0,94.07480119284294,52299431,Ricardo,Venice,Brazil,93.09924038225925
39,Roof double bed private room,Loft,Private room,Real Bed,1.0,2.0,0,1.0,185.0,94.07480119284294,52316085,Mustafa,Tribeca,Turkey,93.09924038225925
40,"Cozy Nest, heart of the Plateau",Apartment,Private room,Real Bed,1.0,1.0,62,1.0,34.0,25.0,39300,Lilou,Mile End,Canada,98.0
41,Uygun nezih daire,Apartment,Entire home/apt,Real Bed,1.0,2.0,0,1.0,264.0,26.0,37417314,Yaşar,Kauaʻi,Turkey,93.09924038225925
42,Ipanema: moderno apê 2BR + garagem,Apartment,Entire home/apt,Real Bed,2.0,2.0,24,2.0,298.0,180.0,2537111,Barbara,Santa Teresa,Brazil,92.0
43,"Friendly Apartment, 10m from Manly",Apartment,Private room,Real Bed,1.0,1.0,4,1.0,36.0,94.07480119284294,52453573,Isaac,Happy Valley,Australia,95.0
44,Great studio opp. Narrabeen Lake,Apartment,Entire home/apt,Real Bed,0.0,1.0,61,1.0,117.0,0.0,634664,Tracy,City Island,Australia,97.0
45,Cozy Queen Guest Room&My,Apartment,Private room,Real Bed,1.0,1.0,9,1.0,330.0,94.07480119284294,52473150,Danny,Mong Kok,Hong Kong,73.0
46,Cozy aptartment in Recreio (near Olympic Venues),Apartment,Entire home/apt,Real Bed,3.0,3.0,0,3.0,746.0,373.0,31553171,José Augusto,Recreio dos Bandeirantes,Brazil,93.09924038225925
47,"Kailua-Kona, Kona Coast II 2b condo",Apartment,Entire home/apt,Real Bed,2.0,3.0,1,2.0,135.0,94.07480119284294,3393610,Daniel,Kailua/Kona,United States,100.0
48,"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",Condominium,Entire home/apt,Real Bed,1.0,2.0,1,1.0,499.0,99.0,12057949,Holly,Central Business District,United States,100.0
49,Quarto inteiro na Tijuca,Apartment,Private room,Real Bed,1.0,1.0,1,2.0,149.0,30.0,12673423,Gilberto,Tijuca,Brazil,100.0
50,Twin Bed room+MTR Mongkok shopping&My,Apartment,Private room,Real Bed,1.0,2.0,22,1.0,400.0,94.07480119284294,52473150,Danny,Mong Kok,Hong Kong,83.0
51,Cozy double bed room 東涌鄉村雅緻雙人房,Guesthouse,Private room,Real Bed,1.0,1.0,162,1.0,487.0,94.07480119284294,52491634,Ricky,Sant Antoni,Hong Kong,96.0
52,Your spot in Copacabana,Apartment,Entire home/apt,Real Bed,2.0,5.0,8,2.0,798.0,150.0,52772199,Ana Lúcia,Waikiki,Brazil,100.0
53,Makaha Valley Paradise with OceanView,Condominium,Entire home/apt,Pull-out Sofa,1.0,2.0,32,1.0,95.0,130.0,42868615,Ray And Lise,Waianae Coast,United States,98.0
54,IPANEMA LUXURY PENTHOUSE with MAID,Apartment,Entire home/apt,Real Bed,1.0,1.0,29,1.0,858.0,112.0,4428126,Cesar,Ipanema,Brazil,99.0
55,FloresRooms 3T,Apartment,Entire home/apt,Real Bed,0.0,1.0,225,1.0,31.0,10.0,51724179,Andreia,Mile End,Portugal,96.0
56,~Ao Lele~ Flying Cloud,Treehouse,Entire home/apt,Real Bed,1.0,1.0,103,1.5,185.0,80.0,52785887,Mike,Makiki/Lower Punchbowl/Tantalus,United States,99.0
57,"Amazing and Big Apt, Ipanema Beach.",Apartment,Entire home/apt,Real Bed,3.0,4.0,0,3.0,1999.0,94.07480119284294,52966539,Pedro,Fort Greene,Brazil,93.09924038225925
58,Small Room w Bathroom Flamengo Rio de Janeiro,Apartment,Private room,Real Bed,1.0,1.0,1,1.0,71.0,20.0,52988408,Fernanda,Glebe,Brazil,80.0
59,UWS Brownstone Near Central Park,Apartment,Entire home/apt,Real Bed,1.0,3.0,45,1.0,212.0,120.0,178043,Chas,The Castro,United States,93.0
60,Alugo Apart frente mar Barra Tijuca,Apartment,Entire home/apt,Real Bed,1.0,2.0,0,1.0,933.0,94.07480119284294,53027036,Paulo Cesar,Barra da Tijuca,Brazil,93.09924038225925
61,Cozy Art Top Floor Apt in PRIME Williamsburg!,Apartment,Entire home/apt,Real Bed,1.0,2.0,117,1.0,175.0,90.0,465278,Ade,Williamsburg,United States,96.0
62,Private OceanFront - Bathtub Beach. Spacious House,House,Entire home/apt,Real Bed,4.0,10.0,32,4.0,795.0,345.0,53086419,Noah,Ko'olauloa,United States,94.0
63,Suíte em local tranquilo e seguro,House,Private room,Real Bed,1.0,1.0,0,1.0,101.0,100.0,53127432,Renato,Gravesend,Brazil,93.09924038225925
64,A large sunny bedroom,Apartment,Private room,Real Bed,1.0,1.0,2,1.0,35.0,94.07480119284294,53169195,Ehssan,Tremont,United States,90.0
65,Best location 1BR Apt in HK - Shops & Sights,Apartment,Entire home/apt,Real Bed,1.0,2.0,145,1.0,997.0,380.0,2657469,Simon,Tsim Sha Tsui,Hong Kong,94.0
66,Room For Erasmus,Apartment,Private room,Real Bed,2.0,2.0,1,1.0,37.0,94.07480119284294,53288729,Kemal,Urca,Turkey,93.09924038225925
67,BEACH ESCAPE,Apartment,Private room,Real Bed,1.0,2.0,0,1.0,105.0,94.07480119284294,53319251,Seda,Vaucluse/Watsons Bay,Turkey,93.09924038225925
68,BBC OPORTO 4X2,Apartment,Entire home/apt,Real Bed,4.0,8.0,71,2.0,100.0,94.07480119284294,3104922,Cristina,Mercês,Portugal,88.0
69,Apartamento Mobiliado - Lgo do Machado,Apartment,Entire home/apt,Real Bed,1.0,2.0,0,1.0,149.0,60.0,15152328,Marcelo,Catete,Brazil,93.09924038225925
70,luxury apartment in istanbul taxsim,Apartment,Entire home/apt,Real Bed,1.0,3.0,135,1.0,269.0,60.0,5386341,Osman,Cihangir,Turkey,91.0
71,Pousada das Colonias,Bed and breakfast,Private room,Real Bed,1.0,1.0,9,1.0,138.0,94.07480119284294,48463017,Lidia Maria,Guinardó,Brazil,98.0
72,Quarto Taquara - Jacarepaguá,Apartment,Private room,Real Bed,1.0,1.0,1,1.0,101.0,120.0,3026612,Luana,El Baix Guinardó,Brazil,100.0
73,Banyan Bungalow,Bungalow,Entire home/apt,Real Bed,0.0,1.0,99,1.0,100.0,80.0,53507053,Bobby,Mile End,United States,96.0
74,Beautiful flat with services,Apartment,Entire home/apt,Real Bed,2.0,2.0,32,2.0,351.0,120.0,36696735,Liliane,Barra da Tijuca,Brazil,95.0
75,(1) Beach Guest House - Go Make A Trip,Bed and breakfast,Private room,Real Bed,1.0,1.0,11,1.0,112.0,0.0,4765935,Rafael,Barra da Tijuca,Brazil,98.0
76,"Studio convenient to CBD, beaches, street parking.",Guest suite,Entire home/apt,Real Bed,1.0,4.0,104,1.0,45.0,50.0,4548918,Leslie,Balgowlah,Australia,96.0
77,Bondi Beach Dreaming 3-Bed House,House,Entire home/apt,Real Bed,3.0,6.0,139,2.0,399.0,185.0,2509326,Cat,North Bondi,Australia,96.0
78,March 2019 availability! Oceanview on Sugar Beach!,Condominium,Entire home/apt,Real Bed,1.0,3.0,19,1.0,229.0,95.0,5738969,Gage,Maui,United States,94.0
79,Sala e quarto em copacabana com cozinha americana,Apartment,Entire home/apt,Real Bed,1.0,1.0,0,1.0,298.0,94.07480119284294,53729453,Tamara,Copacabana,Brazil,93.09924038225925
80,Where Castles and Art meet the Sea,Apartment,Entire home/apt,Real Bed,1.0,2.0,13,1.0,80.0,30.0,53059934,Jose,Park Slope,Portugal,95.0
81,Aluguel Temporada Casa São Conrado,House,Entire home/apt,Real Bed,4.0,8.0,0,7.0,2499.0,94.07480119284294,33687645,Maria Pia,Waverly,Brazil,93.09924038225925
82,Homely Room in 5-Star New Condo@MTR,Condominium,Private room,Real Bed,1.0,1.0,179,1.0,479.0,94.07480119284294,53247930,Crystal,Mong Kok,Hong Kong,94.0
83,Greenwich Fun and Luxury,House,Entire home/apt,Real Bed,4.0,4.0,0,4.0,999.0,94.07480119284294,45186586,Craig,Greenwich,Australia,93.09924038225925
84,The Garden Studio,Guesthouse,Entire home/apt,Real Bed,1.0,1.0,146,1.0,129.0,60.0,3251237,Cath,El Besòs i el Maresme,Australia,97.0
85,Rented Room,Apartment,Private room,Real Bed,1.0,1.0,0,1.0,112.0,94.07480119284294,53957975,Jercilene,São Conrado,Brazil,93.09924038225925
86,Cheerful new renovated central apt,Apartment,Entire home/apt,Real Bed,3.0,4.0,77,1.0,264.0,0.0,22766460,Aybike,Mont-Royal,Turkey,94.0
87,Heroísmo IV,Apartment,Entire home/apt,Real Bed,0.0,1.0,31,1.0,29.0,10.0,9320470,Apartments2Enjoy,Boerum Hill,Portugal,89.0
88,Cozy House in Ortaköy,Apartment,Private room,Real Bed,1.0,2.0,0,1.0,100.0,100.0,53849209,Orcun,Ortaköy,Turkey,93.09924038225925
89,Condomínio Praia Barra da Tijuca,Condominium,Entire home/apt,Real Bed,2.0,5.0,18,2.0,351.0,94.07480119284294,54221119,Paula,Barra da Tijuca,Brazil,95.0
90,位於深水埗地鐵站的溫馨公寓,Apartment,Private room,Real Bed,1.0,2.0,18,1.0,353.0,50.0,16313394,Aaron,Tai Kok Sui,Hong Kong,71.0
91,Tropical Jungle Oasis,Condominium,Entire home/apt,Real Bed,2.0,3.0,65,1.5,125.0,99.0,54294012,Douglas,Hilo,United States,96.0
92,Luxury 1-Bdrm in Downtown Brooklyn,Apartment,Entire home/apt,Real Bed,1.0,1.0,1,1.0,144.0,150.0,10099253,Ashley,Downtown Brooklyn,United States,93.09924038225925
93,Cozy bedroom Sagrada Familia,Apartment,Private room,Real Bed,1.0,2.0,1,1.0,20.0,20.0,1929411,Rapha,el Fort Pienc,Spain,100.0
94,Whole Apt. in East Williamsburg,Apartment,Entire home/apt,Real Bed,1.0,1.0,126,1.0,125.0,80.0,4148248,Guillermo,Williamsburg,United States,96.0
95,Jubilee By The Sea (Ocean Views),House,Entire home/apt,Real Bed,4.0,6.0,45,2.0,325.0,250.0,54391530,Nate,Kailua/Kona,United States,98.0
96,Sun filled comfortable apartment,Apartment,Entire home/apt,Real Bed,1.0,1.0,2,1.0,85.0,15.0,23405752,Harry,Elizabeth Bay/Rushcutters Bay,Australia,100.0
97,Park Guell apartment with terrace,Apartment,Entire home/apt,Real Bed,2.0,3.0,51,1.0,85.0,40.0,54320669,Alexandra Y Juan,Vila de Gràcia,Spain,71.0
98,Spacious and well located apartment,Apartment,Entire home/apt,Real Bed,2.0,3.0,20,1.0,60.0,25.0,12870591,Andre,Jardim Europa,Portugal,89.0
99,Jardim Botânico Gourmet 2 bdroom,Apartment,Entire home/apt,Real Bed,2.0,5.0,9,2.0,395.0,300.0,3665789,Roberta (Beta) Gatti,La Nova Esquerra de l'Eixample,Brazil,91.0
100,Charming Spacious Park Slope Studio,Guest suite,Entire home/apt,Real Bed,0.0,0.0,115,1.0,135.0,50.0,54539364,Ildiko,Park Slope,United States,98.0
101,Panoramic Ocean View Studio in  Quiet Setting,Guesthouse,Entire home/apt,Real Bed,1.0,1.0,114,1.0,120.0,100.0,308899,Andrei,Kaimuki,United States,95.0
102,Grand apartment Sagrada Familia,Apartment,Entire home/apt,Real Bed,4.0,6.0,77,2.0,169.0,60.0,54320669,Alexandra Y Juan,Vila de Gràcia,Spain,90.0
103,Nice Cosy Room In Taksim,Apartment,Private room,Real Bed,1.0,1.0,31,1.0,105.0,60.0,5823933,Nihat,Cihangir,Turkey,96.0
104,Apt Quarto e Sala amplo Laranjeiras,Apartment,Entire home/apt,Real Bed,1.0,4.0,0,1.0,701.0,100.0,47039858,Marianna,Zetland,Brazil,93.09924038225925
105,Serene luxury in Harlem,Apartment,Private room,Real Bed,1.0,1.0,10,1.0,80.0,50.0,54761069,Erika,Harlem,United States,100.0
106,Cozy apartment 3 mins TAIWAI Subway,Apartment,Entire home/apt,Real Bed,2.0,2.0,0,2.0,801.0,94.07480119284294,19543283,Naomi,South Beach,Hong Kong,93.09924038225925
107,Ribeira Smart Flat,Apartment,Entire home/apt,Real Bed,3.0,3.0,132,1.0,80.0,20.0,54662715,Mathieu,Soho,Portugal,92.0
108,"Charming Apartment,perfect Location",Apartment,Entire home/apt,Real Bed,1.0,2.0,110,1.0,351.0,140.0,1381764,Fabio,Copacabana,Brazil,95.0
109,GREAT Apartment at Barra da Tijuca,Apartment,Entire home/apt,Real Bed,3.0,7.0,13,4.0,933.0,298.0,54904357,Luiz Henrique,Barra da Tijuca,Brazil,100.0
110,"Kadiköy, Moda, close to transports",Apartment,Private room,Real Bed,1.0,1.0,0,1.0,137.0,94.07480119284294,25679882,Bertille,Moda,Turkey,93.09924038225925
111,Lovely ap at Leblon beach,Apartment,Entire home/apt,Real Bed,3.0,3.0,1,3.0,298.0,160.0,54984412,Sonia,Leblon,Brazil,100.0
112,Beautiful 1 Bedroom Apartment,Apartment,Entire home/apt,Real Bed,1.0,1.0,10,1.0,997.0,500.0,36481278,Mai-Britt,Sheung Wan,Hong Kong,95.0
113,PORTO DOWNTOWN FLATS-RIBEIRA STUDIO,Apartment,Entire home/apt,Real Bed,0.0,2.0,62,1.0,55.0,25.0,35484736,Tim,Outremont,Portugal,97.0
114,Colonial Mansion in Santa Teresa,House,Entire home/apt,Real Bed,6.0,6.0,0,5.0,1999.0,94.07480119284294,4532951,John,Urca,Brazil,93.09924038225925
115,Nani La 'Ao (A Beautiful Day) Upstairs Suite,House,Entire home/apt,Real Bed,1.0,1.0,18,1.0,72.0,12.0,1121661,Sherri,Island of Hawaiʻi,United States,96.0
116,CASA PARA AS OLIMPIADAS 2016,House,Entire home/apt,Real Bed,4.0,6.0,0,6.0,3726.0,94.07480119284294,55124555,Priscila,Ho Man Tin,Brazil,93.09924038225925
117,"Cozy, dreamy Mile End apartment",Apartment,Private room,Real Bed,1.0,1.0,0,1.0,30.0,20.0,5173928,Uma,Mile End,Canada,93.09924038225925
118,Great location in Barcelona,Apartment,Entire home/apt,Real Bed,4.0,4.0,2,1.0,31.0,7.0,6151720,Marina E Mickael,El Clot,Spain,60.0
119,Relaxing and Roomy in Crown Heights,Apartment,Private room,Real Bed,1.0,1.0,46,1.0,50.0,50.0,2128778,Rachael,Crown Heights,United States,96.0
120,"Asia House, Garden Room, Princevile",Guest suite,Private room,Real Bed,1.0,1.0,167,1.0,139.0,85.0,5884464,Coral,Kauaʻi,United States,93.0
121,Triple room Barcelona Guell park,Condominium,Private room,Real Bed,1.0,3.0,191,1.0,40.0,15.0,5888954,Núria,Vila de Gràcia,Spain,82.0
122,Apart-hotel w/ Wonderful Ocean View - 2 bedrooms!!,Apartment,Entire home/apt,Real Bed,2.0,3.0,34,2.0,451.0,200.0,15560428,Aline,Barra da Tijuca,Brazil,95.0
123,DOUBLE ROOM for 1 or 2 ppl,Apartment,Private room,Real Bed,1.0,1.0,0,1.0,15.0,94.07480119284294,6486855,Aleksandra,La Sagrada Família,Spain,93.09924038225925
124,Bright Inner West Terrace Value+,House,Private room,Real Bed,1.0,1.0,84,1.5,65.0,25.0,3082095,Natasa,Marrickville,Australia,96.0
125,Designer's Historical Apartment,Apartment,Entire home/apt,Real Bed,1.0,1.0,17,1.0,385.0,298.0,5908273,Pia,Cihangir,Turkey,97.0
126,"Nişantaşı, safe, quality area.Very close to metro.",Apartment,Entire home/apt,Real Bed,1.0,2.0,6,1.0,417.0,237.0,19354362,Enis,Darlington,Turkey,83.0
127,Renovated Classic Design Studio with Sun Room,Apartment,Entire home/apt,Real Bed,1.0,1.0,32,1.0,58.0,40.0,11417174,Maribel Monzo,Brickell,Portugal,94.0
128,HUGE Bedroom in Lower East Side,Apartment,Private room,Real Bed,1.0,1.0,0,1.0,90.0,50.0,20358661,Ryan,Lower East Side,United States,93.09924038225925
129,BALAT,House,Private room,Real Bed,1.0,2.07145434861061,0,1.2911632100991886,685.0,94.07480119284294,5929670,Hanife,Fatih,Turkey,93.09924038225925
130,City View Apartment,Serviced apartment,Entire home/apt,Real Bed,1.0,2.0,1,1.0,211.0,94.07480119284294,3938375,Orhan,Taksim,Turkey,80.0
131,Trendy apartment in BCN centre,Apartment,Entire home/apt,Real Bed,2.0,2.0,104,1.0,89.0,30.0,542867,Gabriela & Miguel,Sants-Montjuïc,Spain,93.0
132,Room in the very ♥ of BCN - Unbeatable location,Condominium,Private room,Real Bed,1.0,2.0,122,1.0,40.0,10.0,55390614,Flo,El Gòtic,Spain,78.0
133,well lit East Williamsburg apt.,Apartment,Private room,Real Bed,1.0,1.0,0,1.5,60.0,94.07480119284294,4827009,Liat,Williamsburg,United States,93.09924038225925
134,Spacious 2 Bedroom: Soho/Escalator,Apartment,Entire home/apt,Real Bed,2.0,3.0,86,1.0,1703.0,400.0,56006867,Tara,Soho,Hong Kong,99.0
135,Comfort Room in Istanbul,Apartment,Private room,Real Bed,1.0,1.0,0,1.0,53.0,26.0,4812766,Erhan,Praça da Bandeira,Turkey,93.09924038225925
136,Quarto espaçoso e arejado no Rio.,Hostel,Private room,Real Bed,1.0,1.0,1,1.0,187.0,94.07480119284294,28616106,Mariana,North Bondi,Brazil,93.09924038225925
137,Room w private toilet 3 min to MTR!,Condominium,Private room,Real Bed,1.0,1.0,72,1.0,447.0,300.0,13416742,Joanna,Alphabet City,Hong Kong,97.0
138,傳統香港房间 - 干净整洁交通便利的二人房间,Apartment,Private room,Real Bed,1.0,1.0,0,1.0,2748.0,94.07480119284294,43392680,Chuiying,Tai Kok Sui,Hong Kong,93.09924038225925
139,Spacious 3bdrm. Artsy and Perfect Location!,Apartment,Entire home/apt,Real Bed,3.0,3.0,125,1.5,1146.0,285.0,930612,Melanie,Downtown Vancouver,Hong Kong,87.0
140,Big Private BR Steps to Barnard Columbia & Subways,Apartment,Private room,Real Bed,1.0,1.0,29,1.0,128.0,75.0,56197328,Paul,Morningside Heights,United States,99.0
141,Apartamento para as olimpíadas,Apartment,Entire home/apt,Real Bed,2.0,3.0,0,2.0,746.0,75.0,25469566,Rosane,Happy Valley,Brazil,93.09924038225925
142,Hospede-se com acesso fácil.,Condominium,Entire home/apt,Real Bed,2.0,3.0,0,1.0,134.0,93.0,56230710,Rose,Bonsucesso,Brazil,93.09924038225925
143,Artist Garden Duplex Ft. Greene - 2.5 Bedroom,Apartment,Entire home/apt,Real Bed,3.0,3.0,89,2.0,250.0,200.0,36894011,Miriam,Fort Greene,United States,98.0
144,AP. EM CONDOMINIO FECHADO,Apartment,Entire home/apt,Real Bed,2.0,2.0,0,1.0,172.0,94.07480119284294,55601443,Adriano,São Cristóvão,Brazil,93.09924038225925
145,Cozy Hell's Kitchen Apt,Apartment,Entire home/apt,Real Bed,1.0,1.0,60,1.0,125.0,50.0,39754804,Karen,Hell's Kitchen,United States,95.0
146,Designer Apartment in Sheung Wan,Apartment,Entire home/apt,Real Bed,1.0,1.0,18,1.0,1484.0,300.0,9479239,Maria,Waianae Coast,Hong Kong,98.0
147,Private Cozy Bedroom in Brooklyn,Apartment,Private room,Real Bed,1.0,1.0,241,1.0,47.0,20.0,663764,Karen,Flatbush,United States,93.0
148,Aquilla House - Ocean Views Newport,House,Entire home/apt,Real Bed,4.0,5.0,3,3.0,500.0,150.0,5990033,Susannah,Old Montreal,Australia,93.0
149,Quarto de Casal em Ipanema,Apartment,Private room,Real Bed,1.0,1.0,2,2.0,149.0,80.0,29744388,Gabriela,Ipanema,Brazil,100.0
150,causeway bay MTR+Tidy Quad room&YT,Apartment,Private room,Real Bed,1.0,3.0,15,1.0,597.0,0.0,52473150,Danny,Mong Kok,Hong Kong,76.0
151,Private Entrance - Backyard Summer Dining - Enjoy,Townhouse,Entire home/apt,Real Bed,1.0,2.0,184,1.0,110.0,40.0,5887081,Michelle,Bedford-Stuyvesant,United States,96.0
152,"Waterfront, Enchanted Lake Home 2/1",House,Entire home/apt,Real Bed,2.0,4.0,44,2.0,189.0,150.0,49457265,Tom,Kailua,United States,87.0
153,aOceanside Hawaii Apartment Studio Kitchen Parking,Apartment,Entire home/apt,Real Bed,1.0,1.0,137,1.0,99.0,50.0,56775580,Jay,Waikiki,United States,93.0
154,Makai Hideaway,House,Entire home/apt,Real Bed,4.0,8.0,119,3.0,169.0,200.0,6017048,Cheryl,Island of Hawaiʻi,United States,97.0
155,Bright PrivateRm 1 min to JordanMTR,Hostel,Private room,Real Bed,1.0,1.0,203,1.0,447.0,50.0,56949831,Sam,Jordan,Hong Kong,96.0
156,Super location - Walk to the City!,Apartment,Entire home/apt,Real Bed,1.0,1.0,9,1.0,119.0,75.0,4099460,Serena,Neutral Bay,Australia,84.0
157,enjoy nature in Istanbul,House,Entire home/apt,Real Bed,2.0,2.0,15,1.0,359.0,94.07480119284294,56998832,Sanem,Upper East Side,Turkey,94.0
158,The Executive  Posh Room,House,Private room,Real Bed,1.0,1.0,21,1.0,90.0,25.0,57023844,Karlene,Jamaica,United States,91.0
159,Holoholo Inn: Rain Forest (Priv-2),House,Private room,Real Bed,1.0,1.0,44,1.0,105.0,94.07480119284294,56866557,Satoshi,Island of Hawaiʻi,United States,98.0
160,Brooklyn Artist Loft / Fun Location,Apartment,Private room,Real Bed,1.0,1.0,13,1.0,59.0,25.0,21965282,Joseph,Bay Ridge,United States,98.0
